 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
SEIT 2018,The 8th International Conference on Sustainable Energy Information Technology,https://easychair.org/cfp/SEIT2018,"Porto, Portugal","Jan 13, 2018","May 08, 2018","['energy', 'it']",Energy
ICCPCCT-2018,"International Conference on Control, Power, Communication and Computing Technologies-2018",https://easychair.org/cfp/iccpcct2018,"Kannur, India","Jan 10, 2018","Mar 23, 2018","['power', 'computing', 'communication', 'control']",Energy
TMREES18,"Technologies and Materials for Renewable Energy, Environment and Sustainability",https://easychair.org/cfp/TMREES18,"Beirut, Lebanon","Dec 30, 2017","Feb 01, 2018","['hydrogen energy and fuel cells', 'solar energy: new technologies/advanced material', 'other renewable sources of energy', 'management sustainability and environmental quality']",Energy
SET2018,17th International Conference on Sustainable Technologies,https://easychair.org/cfp/set2018,"Wuhan, China","Jun 15, 2018","Aug 21, 2018","['sustainable energy', 'green technology']",Energy
PESTSE - 2018,Biennial International Conference on Power and Energy Systems: Towards Sustainable Energy - 2018,https://easychair.org/cfp/PESTSE-2018,"Bengaluru, India","Oct 15, 2017","Jan 18, 2018","['power electronics', 'renewables', 'microgrid/smartgrid', 'power quality']",Energy
SEES 2018,International Conference on Sustainable Energy and Environment Sensing,https://easychair.org/cfp/SEES2018,"Cambridge, UK",,"Jun 18, 2018",[],Energy
SAUPEC 2018,26th Southern African Universities Power Engineering Conference,https://easychair.org/cfp/SAUPEC2018,"Johannesburg, South Africa","Nov 01, 2017","Jan 24, 2018","['electric power & energy systems', 'high voltage emc and lightning', 'electric mechines', 'engineering education']",Energy
IGSHPA Sweden2018,International Ground Source Heat Pump Association Sweden Research Track 2018,https://easychair.org/cfp/IGSHPA_Sweden_2018,"Stockholm, Sweden","Feb 28, 2018","Sep 18, 2018","['ground source heat pump systems', 'ground heat exchangers', 'underground thermal energy storage', 'thermal response tests']",Energy
NPEC-18,IEEE Podhigai Sponsored National Power Engineering Conference 2018,https://easychair.org/cfp/NPEC-18,"Madurai, India","Jan 19, 2018","Mar 09, 2018","['power & energy', 'power electronics and drives', 'control & instrumentation', 'soft computing']",Energy
Advances in Renewable Energy 2017,Advances in  Renewable Energy,https://easychair.org/cfp/Advances_in_Renewable_Energy_2017,"Pune, India","Sep 25, 2017",,"['solar energy', 'wind energy', 'bio fuels and energy', 'geothermal energy']",Energy
EPECS’18,5th International Conference on Electric Power and Energy Conversion Systems,https://easychair.org/cfp/EPECS18,"Kitakyushu, Japan","Nov 15, 2017","Apr 23, 2018","['power system', 'smart grid', 'high voltage', 'electric drives']",Energy
EETIC 2017,"Energy, Engineering and Technology International Conference 2017",https://easychair.org/cfp/EETIC2017,,,"Dec 15, 2017","['energy', 'embedded system', 'renewable energy development', 'control engineering and technology']",Energy
EEHB2018,The 3rd International Conference on Energy Efficiency in Historic Buildings,https://easychair.org/cfp/EEHB2018,"Visby, Sweden","Feb 28, 2018","Sep 26, 2018","['energy efficiency', 'energy', 'cultural heritage', 'historic buildings']",Energy
GUCON 2018,"IEEE International Conference on Computing, Power and Communication Technologies 2018",https://easychair.org/cfp/GUCON2018,"Greater Noida, India","Apr 30, 2018","Sep 28, 2018","['power & energy including renewable', 'communications', 'computers and automation', 'engineering and technology']",Energy
ECOES 2018,Emerging Challenges and Opportunities in Energy Sector,https://easychair.org/cfp/ECOES2018,"Amethi, Uttar Pradesh, India","Dec 25, 2017","Feb 09, 2018","['marketing human resource finance', 'oil gas renewables unconventional energy', 'operations supply chain data analytics', 'business economics corporate social responsibility']",Energy
PAUWES Res-2-Prac,PAUWES Research-2-Practice Forum 2018,https://easychair.org/cfp/pauwes-res2prac,"Tlemcen, Algeria","Jan 08, 2018","Apr 16, 2018","['energy', 'water', 'climate change']",Energy
ECOES 1,International conference on Emerging Challenges & Opportunities in Energy Sector,https://easychair.org/cfp/ECOES_1,"Amethi, India","Oct 30, 2017","Feb 09, 2018","['corporate social responsibility', 'marketing hrm scm accounting finance', 'renewable energy unconventional energy', 'technology management data analytic']",Energy
Repsi - 2018,International Conference On Renewable Energy Potential for Sustainable Initiatives,https://easychair.org/cfp/REPSI-2018,"New Delhi, India","Aug 30, 2017","Feb 08, 2018","['photo voltaic systems', 'wind energy conversion systems', 'hybrid system technologies', 'alternate energy conversion systems']",Energy
IC2EM 2018,"International Conference on Electronics, Energy and Measurement",https://easychair.org/cfp/ICEEM-2018,"Algiers, Algeria","Mar 15, 2018","Oct 02, 2018","['instrumentation', 'measurement', 'electronic systems', 'energy systems']",Energy
ESSD-2017,Second International Conference on Energy Systems for Sustainable Development,https://easychair.org/cfp/ESSD-2017,"LAHORE, Pakistan","Jan 10, 2018","Feb 21, 2018","['energy management', 'power']",Energy
