 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
SI 2018,Workshop on Social Influence 2018,https://easychair.org/cfp/SI2018,"Barcelona, Spain",20-May-18,28-Aug-18,"['social influence', 'network science', 'computational social science', 'social science']",Computing
IMPS 2018,Innovations in Mobile Privacy & Security,https://easychair.org/cfp/IMPS2018,"London, UK",2-Feb-18,27-Apr-18,[],Computing
ICBDCI2018,International Conference on Big Data and Computational Intelligence,https://easychair.org/cfp/icbdci2018,"Pithoragarh, India",,9-Feb-18,[],Computing
KR 2018,16th International Conference on Principles of Knowledge Representation and Reasoning,https://easychair.org/cfp/kr2018,"Tempe, AZ, United States",20-May-18,29-Oct-18,"['artificial intelligence', 'knowledge representation and reasoning']",Computing
MCPR2018,10th Mexican Conference on Pattern Recognition,https://easychair.org/cfp/MCPR2018,"Puebla, Mexico",22-Jan-18,27-Jun-18,"['pattern recognition', 'computer vision', 'image processing', 'applications']",Computing
ICEST 2018,"53rd International Scientific Conference on Information, Communication and Energy Systems and Technologies",https://easychair.org/cfp/ICEST2018,"Sozopol, Bulgaria",31-Mar-18,28-Jun-18,"['communication networks', 'radiocommunications', 'computer technologies and electronics', 'energy systems and technologies']",Computing
P2PFISY2018,P2P Financial Systems International Workshop,https://easychair.org/cfp/p2pfisy2018,"Cleveland, OH, United States",15-Jun-18,24-Jul-18,"['blockchain and digital currencies', 'p2p lending / crowdfunding', 'cryptographic protocols and p2p networks', 'security engineering of p2p systems']",Computing
AIC2018,6th International Workshop on Artificial Intelligence and Cognition,https://easychair.org/cfp/AIC2018,"Palermo, Italy",6-Apr-18,2-Jul-18,"['artificial intelligence', 'cognitive systems', 'robotics', 'knowledge representation']",Computing
RECSI2018,Reunión Española sobre Criptología y Seguridad de la Información 2018,https://easychair.org/cfp/recsi2018,"Granada, Spain",22-Apr-18,3-Oct-18,"['information security', 'cybersecurity', 'cryptology', 'cyberdefense']",Computing
WCSF 2018,The 4th IEEE International Workshop on Cloud Security and Forensics,https://easychair.org/cfp/WCSF2018,"New York, NY, United States",15-Mar-18,1-Aug-18,[],Computing
DAPPER 2018,International Workshop on Data Analytics and Parallel Performance,https://easychair.org/cfp/dapper18,"Belfast, UK",15-Feb-18,2-Apr-18,"['data analytics', 'machine learning', 'performance analysis', 'high performance computing']",Computing
ICT Innovations 2018,10th International Conference,https://easychair.org/cfp/ICT-Innovations-2018,"Ohrid, Macedonia",29-Apr-18,17-Sep-18,"['biomedical computing engineering and applications', 'bioinformatics and bioengineering', 'robotics technologies', 'intelligent systems']",Computing
CIIT2018,15th International Conference on Informatics and Information Technologies 2018,https://easychair.org/cfp/CIIT2018,"Mavrovo, Macedonia",18-Mar-18,20-Apr-18,[],Computing
PPSN 2018,The Fifteenth International Conference on Parallel Problem Solving from Nature,https://easychair.org/cfp/ppsn2018,"Coimbra, Portugal",26-Mar-18,8-Sep-18,"['evolutionary computation', 'natural computing', 'artificial life']",Computing
SIDIM 2018,XXXIII Seminario Interuniversitario de Investigación en Ciencias Matemáticas (SIDIM 2018),https://easychair.org/cfp/SIDIM_2018,"San Juan, Puerto Rico",2-Mar-18,23-Mar-18,"['mathematics', 'statistics', 'data science', 'mathematics education']",Computing
IEEE ICIOT 2018,IEEE 2018 International Congress on Internet of Things,https://easychair.org/cfp/IEEE_ICIOT_2018,"San Francisco, CA, United States",7-Feb-18,2-Jul-18,"['iot', 'smart environment', 'architectures', 'application']",Computing
NCPCRA2018,National conference on Performance Computing and Recent Applications,https://easychair.org/cfp/NCPCRA2018,"Pune, India",31-Jan-18,22-Feb-18,"['web informatics bigdata icn', 'ambient computing technology', 'energy and power distribution', 'dsp embedded system']",Computing
MaHIN2018,The 1st International Workshop on Multilayer and Heterogeneous Information Network (MaHIN) at ASONAM 2018,https://easychair.org/cfp/MaHIN2018,"Barcelona, Spain",30-Apr-18,,"['heterogeneous networks', 'network dynamics', 'multilayer networks']",Computing
SNTA'18,Scalable Network Traffic Analytics,https://easychair.org/cfp/SNTA2018,"Vienna, Austria",28-Mar-18,2-Jul-18,[],Computing
MolCom 2018,3rd Workshop on Molecular Communications,https://easychair.org/cfp/MolCom2018,"Ghent, Belgium",29-Jan-18,4-Apr-18,"['track 1: living system modelling', 'track 2: living system interface', 'track 3: artificial molecular communications']",Computing
DyNo18,Dynamics On and Of Networks 2018,https://easychair.org/cfp/DyNo18,"Barcelona, Spain",30-Apr-18,28-Aug-18,"['social network analysis', 'dynamic networks', 'generative models']",Computing
