 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
ICMRI 2018,The 2018 International Conference on Multidisciplinary Research and Innovation,https://easychair.org/cfp/ICMRI2018,"Kuala Lumpur, Malaysia",15-Mar-18,23-Jun-18,"['engineering', 'management', 'medical', 'applied sciences']",Engineering
WCEE2018,The 2018 World Congress on Energy Engineering,https://easychair.org/cfp/WCEE2018,"Paris, France",15-May-18,24-Nov-18,"['energy', 'engineering']",Engineering
MobiSPC-2018,The 15th International Conference on Mobile Systems and Pervasive Computing,https://easychair.org/cfp/MobiSPC2018,"Gran Canaria, Spain",22-Mar-18,13-Aug-18,"['mobile', 'pervasive computing', 'internet of things', 'emerging technologies']",Engineering
IEEE COLCOM 2018,11th IEEE Colombian Conference on Communications and Computing,https://easychair.org/cfp/ieee-colcom2018,"Medellín, Colombia",30-Jan-18,16-May-18,"['cybersecurity', 'big data', 'wireles communications', 'computer and software engineering']",Engineering
IWLS 2018,International Workshop on Logic & Synthesis,https://easychair.org/cfp/iwls2018,"San Francisco, CA, United States",11-Mar-18,23-Jun-18,"['synthesis', 'verification', 'reconfigurable computing', 'electronic design automation']",Engineering
CogArch 2018,3rd Workshop on Cognitive Architectures,https://easychair.org/cfp/CogArch2018,"Williamsburg, VA, United States",5-Feb-18,24-Mar-18,"['cognitive computing', 'computer architecture', 'machine learning']",Engineering
icrrme2018,International Conference on Recent Research in Materials and Engineering,https://easychair.org/cfp/icrrme2018,"Visakhapatnam, India",5-Feb-18,27-Mar-18,"['engineering', 'science', 'technology', 'material science']",Engineering
C65,C65 International Conference ”Tradition and Innovation - 65 Years of Constructions in Transilvania�?https://easychair.org/cfp/C65,https://easychair.org/cfp/C65,"Cluj-Napoca, Romania",,12-Nov-18,"['civil engineering', 'architecture', 'building systems', 'teaching civil engineering']",Engineering
ICITDA2018,International Conference On Information Technology & Digital Applications,https://easychair.org/cfp/icitda2018,"JAIPUR, India",20-Feb-18,6-Apr-18,"['information security', 'big data & cloud computing', 'soft computing & machine learning', 'modelling & simulation']",Engineering
TECH INSIGHT 2018,"International Conference on Research Advances in  Engineering, Technology, Science and Management",https://easychair.org/cfp/TECH-INSIGHT2018,"Dubai, UAE",15-Feb-18,30-Mar-18,"['engineering', 'technology', 'applied science', 'management']",Engineering
VLSI-SOC 2018,26th IFIP/IEEE International Conference on Very Large Scale Integration,https://easychair.org/cfp/vlsi-soc2018,"Verona, Italy",27-Apr-18,8-Oct-18,"['system on chip', 'hardware security', 'prototyping verification modeling and simulation', 'iot embedded and cyberphysical systems']",Engineering
EOMAS 2018,14th International Workshop on Enterprise & Organizational Modeling and Simulation,https://easychair.org/cfp/EOMAS2018,"Tallinn, Estonia",11-Mar-18,11-Jun-18,"['enterprise engineering', 'simulation', 'modeling', 'business and management']",Engineering
RoSMa2018,International Conference on Robotics and Smart Materials,https://easychair.org/cfp/RoSMa2018,"CHENNAI, India",31-Jan-18,19-Jul-18,"['robotics', 'image processing', 'serial and parallel mechanisms', 'smart materials']",Engineering
ICGICCS2018,"3rd International Conference on Green,Intelligent Computing and Communication Systems",https://easychair.org/cfp/ICGICCS-2018,"Coimbatore, India",,11-May-18,"['sustainable computing', 'green data storage and processing', 'networks for green smart grid', 'image and video processing']",Engineering
ICSSSIS2018,"2nd International Conference on Security, Sensors, Software and Intelligent Systems",https://easychair.org/cfp/ICSSSIS2018,"Cairo, Egypt",,1-Jun-18,"['cot business models', 'cot and education', 'cot in healthcare', 'sensor and actuator technologies']",Engineering
WTISG2018,The 4th International Workshop on Wireless Technology Innovations in Smart Grid,https://easychair.org/cfp/WTISG2018,"Porto, Portugal",31-Jan-18,8-May-18,"['smart grid', 'sustainable energy', 'information technology', 'power system']",Engineering
MS 2018,International Conference on Modelling and Simulation,https://easychair.org/cfp/MS2018,"Mazatlan, Sinaloa, Mexico",28-Feb-18,26-Apr-18,"['operational research', 'fuzzy sets and systems', 'decision making and experts systems', 'business and economic applications']",Engineering
ABES'18,International Conference on Advances in Business and Engineering For Sustainability,https://easychair.org/cfp/ABES-18,"Ghaziabad, India",12-Feb-18,27-Mar-18,"['mechanical and production engineering', 'alternative energy generation and utilization', 'marketing strategies and customer satisfaction', 'leadership and change management']",Engineering
