 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
ICITDA2018,International Conference On Information Technology & Digital Applications,https://easychair.org/cfp/icitda2018,"JAIPUR, India",20-Feb-18,6-Apr-18,"['information security', 'big data & cloud computing', 'soft computing & machine learning', 'modelling & simulation']",Technology
TECH INSIGHT 2018,"International Conference on Research Advances in  Engineering, Technology, Science and Management",https://easychair.org/cfp/TECH-INSIGHT2018,"Dubai, UAE",15-Feb-18,30-Mar-18,"['engineering', 'technology', 'applied science', 'management']",Technology
SLICE-2018,"International Workshop on Smart Living with IoT, Cloud and Edge Computing",https://easychair.org/cfp/slice2018,"Barcelona, Spain",31-Jan-18,23-Apr-18,"['internet of things', 'cloud computing', 'edge computing', 'big data analytics']",Technology
ZdP 2018,Zukunft der Pflege - Innovative Technik für die Praxis,https://easychair.org/cfp/zdp2018,"Oldenburg, Germany",30-Apr-18,4-Jun-18,[],Technology
BCC18,"Second ACM Workshop on  Blockchains, Cryptocurrencies and Contracts",https://easychair.org/cfp/BCC18,"Incheon, South Korea",15-Jan-18,4-Jun-18,"['security and privacy', 'blockchains', 'smart contracts', 'cryptology']",Technology
MILS-18,4th International Workshop on Mils: Architecture and Assurance for Secure Systems,https://easychair.org/cfp/mils18,"Luxembourg, Luxembourg",19-Apr-18,25-Jun-18,"['computer science', 'security', 'software engineering', 'security certification']",Technology
TPDL2018,22nd International Conference on Theory and Practice of Digital Libraries,https://easychair.org/cfp/TPDL2018,"PORTO, Portugal",8-Apr-18,10-Sep-18,"['information retrieval', 'digital humanities', 'research data management', 'digital preservation']",Technology
ICHP 2018,The 24th International Conference on Hydraulics and Pneumatic,https://easychair.org/cfp/ichp2018,"Prague, Czech Republic",18-Jun-18,12-Sep-18,"['hydraulic components and systems', 'hydraulic drives and hybrid drives', 'pneumatic components and systems', 'electronics and fluid power systems']",Technology
PRDC 2018,The 23rd IEEE Pacific Rim International Symposium on Dependable Computing,https://easychair.org/cfp/PRDC2018,"Taipei, Taiwan",1-Jun-18,4-Dec-18,"['dependability', 'security', 'fault tolerance', 'reliability']",Technology
KI2018,41th German Conference on Artificial Intelligence,https://easychair.org/cfp/ki2018,"Berlin, Germany",7-May-18,24-Sep-18,"['robotics', 'artificial intelligence', 'agents', 'machine learning']",Technology
ICMRT 2018,The 2018 International Conference on Multidisciplinary Research and Technology,https://easychair.org/cfp/ICMRT2018,"Singapore, Singapore",15-May-18,16-Sep-18,"['engineering', 'management', 'medical', 'applied sciences']",Technology
